Rank,Name Country/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Citations,Industry Income,International Outlook,Overall,Research,Teaching
501–600,Middle East Technical University,17151,22.5,10%,48 : 52,35.4,99.9,44.6,39.3–42.0,42.4,37.5
501–600,Missouri University of Science and Technology,7617,22.3,9%,23 : 77,61.3,58.7,62.9,39.3–42.0,26.7,29.0
501–600,University of Mons,7450,26.9,17%,57 : 43,60.1,41.3,69.9,39.3–42.0,27.0,23.1
501–600,National Tsing Hua UniversityTaiwan,13711,16.3,11%,41 : 59,47.2,69.2,43.0,39.3–42.0,42.6,32.6
501–600,National Yang Ming Chiao Tung UniversityTaiwan,16425,14.2,11%,36 : 64,34.9,79.9,41.3,39.3–42.0,46.7,41.3
501–600,University of Neuchâtel,4148,11.1,21%,61 : 39,58.3,39.5,88.7,39.3–42.0,25.2,26.2
501–600,University of NicosiaCyprus,4696,11.3,54%,53 : 47,75.7,37.4,94.8,39.3–42.0,16.6,19.6
501–600,Northumbria University,22498,16.3,22%,54 : 46,71.5,37.5,81.6,39.3–42.0,22.4,20.5
501–600,Northwestern Polytechnical UniversityChina,34095,13.9,4%,28 : 72,54.8,69.5,40.1,39.3–42.0,37.7,30.2
501–600,Nottingham Trent University,29925,15.3,21%,57 : 43,79.6,37.5,82.2,39.3–42.0,15.0,19.4
501–600,Open University of Catalonia,32319,100.5,6%,57 : 43,81.2,37.7,48.1,39.3–42.0,18.9,20.0
501–600,University of Peradeniya,16123,10.7,1%,59 : 41,99.2,39.1,40.3,39.3–42.0,8.9,17.3
501–600,Universitat Ramon Llull,14900,22.2,19%,52 : 48,83.6,40.0,66.5,39.3–42.0,17.0,19.5
501–600,Saint-Petersburg Mining University,7944,13.0,12%,42 : 58,83.3,82.3,35.3,39.3–42.0,14.5,22.6
501–600,University of Salerno,26289,27.4,3%,54 : 46,77.4,39.1,35.0,39.3–42.0,23.3,18.9
501–600,University of Saskatchewan,17741,17.6,22%,55 : 45,48.6,69.7,75.0,39.3–42.0,30.3,36.7
501–600,University of Sassari,15065,37.9,2%,62 : 38,62.4,38.4,37.9,39.3–42.0,27.6,32.1
501–600,Saveetha Institute of Medical and Technical Sciences,12394,7.4,1%,38 : 62,97.1,38.1,35.3,39.3–42.0,8.5,22.4
501–600,Sciences Po,12872,45.2,37%,61 : 39,57.9,39.1,82.1,39.3–42.0,25.1,28.8
501–600,Shiraz University of TechnologyIran,1437,13.8,0%,37 : 63,78.0,42.1,29.4,39.3–42.0,22.8,28.4
501–600,SOAS University of London,4656,12.8,53%,67 : 33,42.4,37.0,81.4,39.3–42.0,38.5,33.9
501–600,University of South Carolina-Columbia,33025,15.6,5%,55 : 45,65.5,37.6,45.9,39.3–42.0,24.0,35.0
501–600,Southwestern University of Finance and Economics,23330,16.4,2%,65 : 35,93.6,39.8,39.7,39.3–42.0,12.8,20.0
501–600,University of Stavanger,11089,11.4,11%,58 : 42,72.3,41.3,77.0,39.3–42.0,15.6,20.7
501–600,Stevens Institute of Technology,6624,18.6,35%,29 : 71,69.6,37.6,73.5,39.3–42.0,20.5,22.8
501–600,SUNY University at Albany,16090,17.2,8%,55 : 45,71.4,44.6,50.4,39.3–42.0,25.7,24.6
501–600,University of Tabuk,29471,14.4,2%,57 : 43,87.9,41.7,72.9,39.3–42.0,8.6,16.1
501–600,Technion Israel Institute of Technology,15147,21.0,12%,39 : 61,51.2,38.6,72.0,39.3–42.0,30.9,33.7
501–600,Tokyo Medical and Dental University (TMDU),3010,4.4,11%,50 : 50,44.0,74.5,31.7,39.3–42.0,29.7,45.1
501–600,University of Trieste,16677,24.9,7%,57 : 43,63.8,39.0,47.5,39.3–42.0,25.5,28.5
501–600,University of Tsukuba,15725,12.7,16%,38 : 62,38.5,43.7,43.0,39.3–42.0,37.8,43.9
501–600,TU Dortmund University,25046,74.8,10%,47 : 53,43.7,46.1,44.2,39.3–42.0,43.2,35.9
501–600,University of Tuscia,6272,20.0,4%,54 : 46,81.6,47.7,39.5,39.3–42.0,20.2,19.1
501–600,University of Udine,12326,18.5,5%,54 : 46,73.6,39.9,38.2,39.3–42.0,19.6,26.1
501–600,UiT The Arctic University of Norway,14377,10.1,10%,58 : 42,75.3,39.0,68.6,39.3–42.0,20.8,22.8
501–600,University of Valencia,50575,14.3,14%,58 : 42,71.3,39.0,49.9,39.3–42.0,23.8,23.0
501–600,University of Vic – Central University of Catalonia,6472,14.0,20%,60 : 40,91.6,37.9,59.7,39.3–42.0,12.0,16.1
501–600,Victoria University,16106,45.2,25%,55 : 45,63.6,44.5,79.1,39.3–42.0,26.9,25.5
501–600,Virginia Commonwealth University,26472,10.7,4%,63 : 37,86.2,42.5,30.7,39.3–42.0,12.3,28.9
501–600,Wayne State University,22941,11.9,5%,59 : 41,67.2,48.8,35.3,39.3–42.0,18.6,34.0
501–600,The University of the West IndiesJamaica,24811,17.0,1%,71 : 29,90.3,38.9,58.1,39.3–42.0,10.8,17.6
501–600,Xi’an Jiaotong University,44942,14.1,6%,35 : 65,47.1,75.0,29.4,39.3–42.0,42.7,36.4
501–600,University of Zambia,16903,21.2,1%,35 : 65,96.8,38.4,49.9,39.3–42.0,9.2,15.7
501–600,Zayed University,8593,14.1,2%,88 : 12,79.1,37.6,74.5,39.3–42.0,16.0,17.7
501–600,Zhejiang Normal University,26928,11.7,7%,nan,87.5,65.4,30.5,39.3–42.0,15.5,16.7
601–800,Abdul Wali Khan University Mardan,10314,20.9,0%,32 : 68,88.0,36.9,46.4,34.0–39.2,12.0,15.0
601–800,Åbo Akademi University,5399,17.6,10%,nan,44.4,40.0,65.0,34.0–39.2,31.2,22.0
601–800,Addis Ababa University,46881,14.8,0%,29 : 71,79.5,41.9,46.6,34.0–39.2,12.4,19.6
601–800,Ahvaz Jundishapur University of Medical Sciences (AJUMS)Iran,8601,11.6,2%,60 : 40,65.5,37.5,18.2,34.0–39.2,10.0,33.5
601–800,Ajou UniversitySouth Korea,7574,14.2,17%,42 : 58,41.7,74.3,44.4,34.0–39.2,37.5,31.1
601–800,Amedeo Avogadro University of Eastern Piedmont,14292,37.1,7%,61 : 39,64.5,37.5,41.6,34.0–39.2,22.2,13.9
601–800,American University,12495,11.6,11%,63 : 37,55.7,42.5,37.3,34.0–39.2,16.8,40.7
601–800,American University of Sharjah,4468,11.9,76%,53 : 47,45.6,38.9,93.5,34.0–39.2,21.3,20.9
601–800,Amirkabir University of TechnologyIran,10673,21.2,2%,35 : 65,54.9,64.9,31.7,34.0–39.2,31.9,30.1
601–800,University of Antofagasta,8083,20.4,2%,56 : 44,81.0,36.9,52.4,34.0–39.2,9.5,14.8
601–800,University of Arkansas,25207,19.4,4%,54 : 46,48.5,39.5,30.6,34.0–39.2,27.6,29.1
601–800,Auburn University,27512,18.2,10%,50 : 50,45.9,43.8,49.3,34.0–39.2,23.4,32.4
601–800,Azarbaijan Shahid Madani UniversityIran,7350,26.2,0%,61 : 39,83.8,38.4,22.7,34.0–39.2,13.0,18.1
601–800,University of Babylon,26449,12.7,0%,54 : 46,85.0,37.0,21.6,34.0–39.2,7.8,18.0
601–800,Bahçeşehir University,17813,47.2,18%,49 : 51,62.3,51.9,49.5,34.0–39.2,20.9,19.3
601–800,Bahria University,19573,22.2,1%,44 : 56,79.7,37.4,43.7,34.0–39.2,9.1,13.6
601–800,Banaras Hindu University,13900,8.7,3%,38 : 62,66.0,37.0,20.1,34.0–39.2,16.9,38.8
601–800,University of Bari Aldo Moro,29905,21.6,2%,62 : 38,72.5,38.9,33.6,34.0–39.2,22.8,16.6
601–800,Bar-Ilan University,17255,17.3,4%,61 : 39,42.0,49.4,50.3,34.0–39.2,34.0,30.5
601–800,Baylor University,19700,17.7,7%,55 : 45,52.4,37.4,29.3,34.0–39.2,18.3,33.7
601–800,Beirut Arab University,5698,12.0,18%,45 : 55,56.1,37.0,83.9,34.0–39.2,16.4,33.6
601–800,Ben-Gurion University of the Negev,16468,20.4,2%,52 : 48,43.4,42.8,37.0,34.0–39.2,31.1,30.3
601–800,Benha University,110645,32.5,3%,42 : 58,77.0,37.8,45.1,34.0–39.2,8.6,16.5
601–800,Université Bourgogne Franche-Comté (UBFC),67049,37.3,11%,56 : 44,69.7,40.7,55.4,34.0–39.2,18.3,19.6
601–800,Ca’ Foscari University of Venice,18231,38.3,10%,64 : 36,34.3,44.6,60.8,34.0–39.2,32.3,34.4
601–800,University of Camerino (Unicam),8129,27.9,10%,46 : 54,61.4,44.7,49.3,34.0–39.2,15.8,20.9
601–800,University of CanterburyNew Zealand,15245,18.4,22%,51 : 49,45.3,39.7,92.0,34.0–39.2,27.5,25.2
601–800,Capital Medical University,15254,4.9,5%,62 : 38,65.8,37.3,22.8,34.0–39.2,18.3,30.4
601–800,Carleton University,28760,29.7,22%,49 : 51,50.4,43.0,72.2,34.0–39.2,30.5,21.5
601–800,University of Central Florida,62248,36.1,5%,56 : 44,60.1,46.0,34.4,34.0–39.2,29.5,26.1
601–800,Central Queensland UniversityAustralia,15453,20.7,26%,58 : 42,66.5,40.3,61.7,34.0–39.2,19.6,19.4
601–800,Chongqing UniversityChina,40696,19.9,3%,nan,52.8,85.2,24.8,34.0–39.2,33.2,27.8
601–800,Chung-Ang UniversitySouth Korea,18101,22.7,22%,nan,29.2,78.6,56.1,34.0–39.2,38.3,37.3
601–800,Clark University,3273,11.6,25%,59 : 41,64.9,36.9,58.4,34.0–39.2,20.7,24.9
601–800,University of Coimbra,21429,18.0,19%,58 : 42,40.4,49.8,59.5,34.0–39.2,35.2,25.1
601–800,University of Colombo,31792,31.9,0%,58 : 42,74.5,37.0,37.0,34.0–39.2,9.6,28.9
601–800,COMSATS University Islamabad,33465,14.8,2%,42 : 58,78.2,37.0,46.8,34.0–39.2,14.7,17.1
601–800,Concordia University,35592,33.5,34%,50 : 50,46.4,39.2,85.6,34.0–39.2,27.4,22.6
601–800,University of Córdoba,16847,13.5,10%,56 : 44,56.0,39.4,47.5,34.0–39.2,21.2,22.7
601–800,University of Costa Rica,31545,13.4,2%,53 : 47,71.2,36.9,48.1,34.0–39.2,9.0,18.2
601–800,Covenant UniversityNigeria,8362,15.5,1%,40 : 60,59.4,44.3,46.0,34.0–39.2,24.8,22.1
601–800,Cyprus University of Technology,3280,16.9,14%,56 : 44,53.9,38.9,78.6,34.0–39.2,16.7,23.7
601–800,Dalian University of Technology,38465,15.0,3%,nan,46.1,73.0,31.9,34.0–39.2,29.6,28.6
601–800,Delhi Technological University,11196,22.3,3%,22 : 78,80.1,42.5,17.3,34.0–39.2,17.0,17.8
601–800,De Montfort University,24491,20.2,38%,54 : 46,59.3,37.0,89.6,34.0–39.2,14.8,17.0
601–800,University of Derby,15525,14.7,18%,59 : 41,66.5,37.4,70.2,34.0–39.2,12.0,16.5
601–800,University of Desarrollo,15933,15.9,3%,56 : 44,73.8,39.6,50.6,34.0–39.2,10.1,15.0
601–800,University of Dhaka,211424,16.1,3%,48 : 52,85.9,37.3,43.1,34.0–39.2,8.6,15.2
601–800,Dow University of Health Sciences,7249,6.8,3%,76 : 24,74.0,37.2,35.8,34.0–39.2,8.2,20.8
601–800,University of Eastern Finland,11898,18.2,5%,66 : 34,58.3,40.0,50.5,34.0–39.2,29.1,24.8
601–800,Universidade Eduardo Mondlane,45256,26.1,0%,39 : 61,89.4,36.9,48.7,34.0–39.2,8.4,12.1
601–800,"University of Engineering and Technology, Taxila",5290,19.3,2%,18 : 82,88.9,37.2,42.7,34.0–39.2,12.5,15.1
601–800,ENSTA Bretagne,830,8.1,5%,24 : 76,48.7,64.7,49.5,34.0–39.2,23.3,26.3
601–800,Eötvös Loránd UniversityHungary,30190,17.5,9%,62 : 38,49.6,37.2,52.1,34.0–39.2,18.2,32.9
601–800,Fayoum University,44786,16.8,0%,62 : 38,79.7,40.2,42.4,34.0–39.2,10.4,15.3
601–800,Universidade Federal do Rio Grande do Sul,39169,14.1,1%,52 : 48,50.8,39.8,28.7,34.0–39.2,21.9,32.1
601–800,Universidade Federal de São Paulo (UNIFESP),18877,10.3,1%,59 : 41,55.4,37.3,30.5,34.0–39.2,21.4,29.6
601–800,Federation University AustraliaAustralia,11684,22.2,52%,55 : 45,70.5,41.1,81.2,34.0–39.2,15.8,18.6
601–800,Financial University under the Government of the Russian Federation,16139,12.9,7%,51 : 49,71.1,39.7,23.7,34.0–39.2,14.6,18.8
601–800,Gabriele d‘Annunzio University,23416,32.4,2%,64 : 36,72.9,37.8,38.4,34.0–39.2,18.9,15.1
601–800,University of Georgia,37465,13.2,7%,58 : 42,52.8,39.2,37.6,34.0–39.2,25.8,39.5
601–800,Glasgow Caledonian University,14271,23.6,19%,57 : 43,65.4,37.4,69.0,34.0–39.2,13.8,18.4
601–800,University of Granada,54619,14.5,10%,60 : 40,50.5,37.2,50.2,34.0–39.2,28.8,23.2
601–800,Graphic Era University,7823,14.3,1%,42 : 58,83.1,41.6,25.5,34.0–39.2,9.0,25.0
601–800,University of Graz,12531,12.4,17%,66 : 34,59.3,38.2,81.7,34.0–39.2,19.3,25.2
601–800,Graz University of Technology,6353,8.6,23%,25 : 75,42.5,63.1,83.6,34.0–39.2,20.3,32.0
601–800,Guangzhou University,36701,19.4,0%,64 : 36,76.9,41.5,28.9,34.0–39.2,14.3,16.1
601–800,Guangzhou Medical University,12891,1.7,2%,56 : 44,87.6,38.2,24.2,34.0–39.2,8.3,22.2
601–800,Hacettepe University,38444,20.1,3%,56 : 44,51.9,89.1,25.7,34.0–39.2,26.1,29.0
601–800,University of Haifa,17353,17.7,3%,66 : 34,66.4,38.1,36.1,34.0–39.2,29.1,21.5
601–800,Hamburg University of Technology,4668,28.9,23%,28 : 72,42.5,88.1,56.9,34.0–39.2,23.9,36.1
601–800,Hazara University Mansehra,12145,26.5,0%,26 : 74,82.0,37.0,44.3,34.0–39.2,10.1,17.4
601–800,University of Hertfordshire,18781,15.5,38%,54 : 46,58.1,37.3,86.1,34.0–39.2,13.2,17.7
601–800,University of Houston,46958,27.0,7%,52 : 48,48.8,42.5,43.2,34.0–39.2,28.0,34.9
601–800,University of Huddersfield,14411,19.8,26%,58 : 42,49.8,39.7,82.8,34.0–39.2,23.7,23.2
601–800,Icesi University,6279,8.0,2%,53 : 47,86.0,37.4,37.3,34.0–39.2,9.1,19.1
601–800,Ilam University of Medical SciencesIran,2687,13.0,4%,53 : 47,85.1,38.5,20.8,34.0–39.2,10.7,26.1
601–800,Imam Abdulrahman Bin Faisal University,22059,8.7,4%,90 : 10,64.0,37.5,72.9,34.0–39.2,9.9,22.1
601–800,Indian Institute of Technology Indore,2001,11.7,0%,22 : 78,61.8,39.1,24.9,34.0–39.2,23.7,32.8
601–800,Indraprastha Institute of Information Technology Delhi,2399,23.1,2%,23 : 77,69.6,78.9,33.8,34.0–39.2,17.5,21.5
601–800,"International Islamic University, Islamabad",25221,25.1,7%,53 : 47,80.7,36.9,52.2,34.0–39.2,10.8,17.2
601–800,Iran University of Medical SciencesIran,8840,8.3,5%,57 : 43,56.1,41.7,27.1,34.0–39.2,14.9,46.0
601–800,Istanbul Technical University,18562,24.2,15%,37 : 63,29.1,100.0,42.6,34.0–39.2,35.5,31.9
601–800,Jagiellonian University,34725,9.6,11%,67 : 33,56.7,37.6,40.9,34.0–39.2,25.3,31.3
601–800,Jamia Hamdard University,9636,20.0,3%,45 : 55,73.3,40.5,31.3,34.0–39.2,12.6,18.9
601–800,Jawaharlal Nehru University,8840,14.2,2%,46 : 54,38.3,37.9,19.5,34.0–39.2,23.5,44.1
601–800,Jiangsu University,35687,9.5,6%,42 : 58,66.5,58.8,44.4,34.0–39.2,12.5,21.0
601–800,Jinan UniversityChina,41858,16.6,27%,56 : 44,57.1,45.0,52.9,34.0–39.2,20.2,21.6
601–800,University of JohannesburgSouth Africa,29167,25.1,15%,55 : 45,35.8,45.5,74.9,34.0–39.2,33.4,24.7
601–800,Jönköping University,6762,13.0,14%,60 : 40,58.9,38.1,65.5,34.0–39.2,18.3,18.6
601–800,The University of Jordan,30380,13.4,13%,66 : 34,60.9,40.8,59.9,34.0–39.2,12.4,24.8
601–800,Jouf University,19826,9.8,3%,60 : 40,47.7,38.4,75.0,34.0–39.2,17.7,27.3
601–800,University of Kaiserslautern,8572,28.8,22%,35 : 65,32.2,62.5,54.9,34.0–39.2,26.7,37.5
601–800,Kalasalingam Academy of Research and Education,7365,8.8,3%,55 : 45,82.3,39.3,23.3,34.0–39.2,9.3,22.3
601–800,Kansai Medical University,1086,1.3,2%,52 : 48,82.6,38.1,18.2,34.0–39.2,8.5,27.6
601–800,University of KashanIran,8190,27.2,3%,54 : 46,76.3,38.4,22.8,34.0–39.2,19.2,21.4
601–800,Universiti Kebangsaan Malaysia,16873,10.1,14%,58 : 42,47.1,40.1,65.7,34.0–39.2,23.9,37.6
601–800,KIIT UniversityIndia,24796,12.3,9%,49 : 51,67.5,69.5,28.0,34.0–39.2,13.6,30.3
601–800,King Saud bin Abdulaziz University for Health Sciences,7870,11.3,1%,50 : 50,50.1,42.9,62.9,34.0–39.2,13.9,34.8
601–800,Konkuk UniversitySouth Korea,13375,26.2,14%,49 : 51,30.5,45.8,42.1,34.0–39.2,37.8,30.6
601–800,Kore University of Enna,5053,14.5,1%,68 : 32,86.3,37.9,37.7,34.0–39.2,12.1,16.7
601–800,University of KurdistanIran,12924,34.6,5%,53 : 47,74.2,41.8,30.9,34.0–39.2,14.4,14.7
601–800,Lahore University of Management SciencesPakistan,4499,13.8,1%,42 : 58,64.5,38.8,47.2,34.0–39.2,15.7,21.5
601–800,Lehigh University,6459,11.1,18%,46 : 54,52.3,39.3,65.2,34.0–39.2,21.4,28.3
601–800,University of LimerickIreland,14733,25.1,20%,50 : 50,50.8,40.7,83.0,34.0–39.2,30.3,24.2
601–800,London South Bank University,13051,16.9,35%,56 : 44,63.5,37.5,87.7,34.0–39.2,12.1,18.0
601–800,University of Lorraine,61210,20.2,17%,53 : 47,54.6,39.7,64.7,34.0–39.2,17.8,23.2
601–800,Louisiana State University,29191,18.2,5%,54 : 46,47.0,38.2,39.9,34.0–39.2,21.4,34.8
601–800,Lviv Polytechnic National University,21367,10.5,1%,42 : 58,53.7,38.0,25.3,34.0–39.2,10.7,19.4
601–800,Maharishi Markandeshwar University (MMU)India,9053,13.3,10%,43 : 57,76.8,37.3,26.6,34.0–39.2,8.2,19.9
601–800,Majmaah University,20844,14.2,2%,46 : 54,71.4,37.0,72.6,34.0–39.2,8.5,16.0
601–800,University of Malakand,7757,27.1,1%,29 : 71,79.3,37.5,44.8,34.0–39.2,11.4,17.0
601–800,Manchester Metropolitan University,29197,15.9,19%,58 : 42,69.1,37.4,73.8,34.0–39.2,17.4,19.1
601–800,Mansoura University,161977,47.5,3%,52 : 48,80.6,43.7,48.9,34.0–39.2,11.5,20.7
601–800,Marche Polytechnic University,10544,22.4,5%,46 : 54,73.1,45.4,33.9,34.0–39.2,22.3,20.4
601–800,"University of Maryland, Baltimore County",11456,16.8,8%,46 : 54,58.4,37.9,37.7,34.0–39.2,22.2,23.0
601–800,Mashhad University of Medical SciencesIran,9148,9.7,4%,58 : 42,60.9,37.0,26.2,34.0–39.2,13.5,29.3
601–800,Massey University,17534,16.1,29%,64 : 36,39.7,43.8,92.9,34.0–39.2,25.8,24.3
601–800,Medical University of Lodz,10294,8.6,10%,70 : 30,80.1,37.1,30.4,34.0–39.2,9.7,20.7
601–800,Memorial University of NewfoundlandCanada,16098,14.9,21%,56 : 44,47.6,72.1,81.2,34.0–39.2,22.7,23.3
601–800,Minia University,75566,17.9,1%,54 : 46,74.9,37.1,46.2,34.0–39.2,8.5,15.9
601–800,Mizzou - University of Missouri,25113,11.8,4%,55 : 45,52.1,40.2,44.7,34.0–39.2,25.3,34.8
601–800,University of Mohaghegh ArdabiliIran,11435,28.7,0%,56 : 44,75.1,37.2,27.5,34.0–39.2,11.1,20.9
601–800,University of Nairobi,52678,34.5,2%,24 : 76,86.9,36.9,47.3,34.0–39.2,8.8,13.2
601–800,University of Namibia,29369,21.8,3%,64 : 36,90.3,36.9,64.2,34.0–39.2,8.0,13.3
601–800,Nanjing Agricultural University,28184,17.0,2%,nan,59.5,47.5,24.9,34.0–39.2,24.1,20.5
601–800,Nantes Université,36281,24.0,11%,55 : 45,62.0,42.0,51.9,34.0–39.2,24.4,27.3
601–800,National Cheng Kung University (NCKU)Taiwan,20080,15.1,12%,37 : 63,25.2,100.0,38.7,34.0–39.2,39.9,31.9
601–800,National University of Science and Technology (MISiS),7300,11.1,26%,40 : 60,38.3,85.9,64.6,34.0–39.2,22.2,30.7
601–800,National Taiwan University of Science and Technology (Taiwan Tech)Taiwan,8906,17.9,18%,30 : 70,41.6,65.9,53.7,34.0–39.2,35.9,26.8
601–800,National Institute of Technology Silchar,3900,13.9,3%,21 : 79,61.3,38.0,17.7,34.0–39.2,16.0,28.4
601–800,National Yunlin University of Science and TechnologyTaiwan,9135,21.8,6%,43 : 57,57.1,93.3,34.3,34.0–39.2,27.1,19.6
601–800,Near East UniversityNorthern,20103,24.5,83%,43 : 57,57.6,78.5,95.7,34.0–39.2,17.4,20.7
601–800,"University of Nevada, Las Vegas",26730,23.2,4%,57 : 43,50.7,37.3,31.0,34.0–39.2,24.6,31.8
601–800,University of New Brunswick UNB,8661,14.7,15%,51 : 49,52.4,38.4,74.8,34.0–39.2,21.3,20.5
601–800,New Jersey Institute of Technology,9757,14.6,24%,27 : 73,60.6,40.1,85.2,34.0–39.2,20.6,20.5
601–800,University of North Carolina at Charlotte,27579,20.5,5%,49 : 51,71.7,39.4,31.6,34.0–39.2,19.3,20.2
601–800,North South University,24760,30.9,0%,42 : 58,87.8,36.9,34.8,34.0–39.2,9.3,12.7
601–800,North-West University,40095,24.3,3%,61 : 39,67.3,40.4,50.8,34.0–39.2,18.5,20.4
601–800,Norwegian University of Life Sciences,6786,7.6,12%,57 : 43,61.8,41.0,72.3,34.0–39.2,13.3,25.0
601–800,NOVA University of Lisbon,20996,17.8,23%,51 : 49,42.4,54.5,64.2,34.0–39.2,31.1,23.7
601–800,"University of Occupational and Environmental Health, JapanJapan",1157,2.5,2%,52 : 48,78.6,42.1,20.3,34.0–39.2,10.8,27.1
601–800,Oklahoma State University,21250,14.0,6%,51 : 49,53.8,39.6,45.7,34.0–39.2,20.5,29.7
601–800,Ontario Tech University,8969,28.6,8%,44 : 56,53.0,40.6,60.9,34.0–39.2,24.3,19.5
601–800,The Open University,68390,31.6,8%,65 : 35,60.5,37.1,57.3,34.0–39.2,16.9,19.2
601–800,Oxford Brookes University,13574,14.2,25%,59 : 41,52.8,37.2,83.6,34.0–39.2,22.7,24.6
601–800,University of Parma,28210,32.1,6%,58 : 42,65.1,41.9,37.1,34.0–39.2,22.1,18.3
601–800,Universidad Peruana Cayetano Heredia,6028,6.7,0%,67 : 33,80.9,41.9,47.2,34.0–39.2,12.0,20.7
601–800,University of Perugia,24943,25.1,6%,58 : 42,73.5,41.9,46.0,34.0–39.2,19.3,21.6
601–800,Plekhanov Russian University of Economics,13994,8.7,13%,64 : 36,66.7,40.1,42.1,34.0–39.2,12.2,21.9
601–800,Polytechnic University of Bari,9998,43.1,1%,30 : 70,73.3,57.9,35.0,34.0–39.2,23.1,18.5
601–800,Polytechnic University of Turin,29428,30.4,14%,30 : 70,58.4,55.7,48.7,34.0–39.2,26.7,23.9
601–800,Prince Sattam Bin Abdulaziz University,27117,12.2,2%,58 : 42,80.4,37.8,73.6,34.0–39.2,9.9,17.7
601–800,Universiti Putra Malaysia,18365,11.1,26%,59 : 41,28.8,74.3,79.4,34.0–39.2,28.2,38.5
601–800,Qingdao University,42667,15.2,2%,64 : 36,75.9,40.9,22.1,34.0–39.2,14.7,16.4
601–800,Université du Québec,50418,17.9,12%,57 : 43,35.6,43.8,72.0,34.0–39.2,29.1,26.9
601–800,University of Regina,14172,24.7,27%,59 : 41,64.4,39.0,68.3,34.0–39.2,18.0,17.6
601–800,Rensselaer Polytechnic Institute,7475,14.7,21%,32 : 68,51.0,59.1,72.6,34.0–39.2,26.1,28.9
601–800,Riga Stradiņš University,8512,19.5,28%,74 : 26,75.5,38.2,73.1,34.0–39.2,11.2,16.2
601–800,Riphah International University,23590,21.5,0%,50 : 50,82.8,37.0,44.5,34.0–39.2,9.0,13.6
601–800,Rovira i Virgili University,12975,12.6,13%,60 : 40,61.5,40.5,55.2,34.0–39.2,22.3,21.9
601–800,RUDN University,21820,14.0,32%,58 : 42,37.9,43.4,63.5,34.0–39.2,21.5,38.0
601–800,Universiti Sains Malaysia,23492,11.6,17%,64 : 36,43.2,44.8,60.6,34.0–39.2,25.3,36.1
601–800,San Diego State University,31340,27.5,7%,56 : 44,69.4,37.6,33.5,34.0–39.2,11.1,24.5
601–800,University of Sannio,2944,15.4,2%,51 : 49,70.8,55.5,28.6,34.0–39.2,18.5,18.0
601–800,University of Santiago de Compostela,24713,14.5,9%,62 : 38,55.7,40.7,45.6,34.0–39.2,19.8,24.2
601–800,Savitribai Phule Pune University,5163,12.1,6%,43 : 57,46.0,38.7,22.0,34.0–39.2,23.5,40.6
601–800,University of Campania Luigi Vanvitelli,33663,35.1,2%,37 : 63,78.0,37.8,28.9,34.0–39.2,8.6,23.3
601–800,Shanghai University,37499,13.1,7%,50 : 50,41.4,75.3,35.3,34.0–39.2,33.1,24.7
601–800,"Soochow University, ChinaChina",47989,15.5,5%,54 : 46,64.5,59.9,25.9,34.0–39.2,21.4,23.0
601–800,Southern Cross University,10866,36.1,28%,64 : 36,55.9,47.4,80.7,34.0–39.2,24.9,18.7
601–800,University of Strasbourg,51028,19.8,21%,59 : 41,59.6,44.2,73.3,34.0–39.2,23.1,24.7
601–800,Sultan Qaboos University,7436,8.6,4%,50 : 50,56.9,40.6,74.9,34.0–39.2,18.4,23.1
601–800,University of the Sunshine CoastAustralia,11118,29.6,16%,69 : 31,48.0,42.9,70.5,34.0–39.2,26.5,19.5
601–800,SUNY Binghamton University,18852,22.0,11%,50 : 50,56.8,40.0,37.0,34.0–39.2,20.4,25.3
601–800,University of TabrizIran,20983,27.2,6%,49 : 51,68.9,41.0,36.7,34.0–39.2,21.4,23.4
601–800,Tabriz University of Medical SciencesIran,8524,9.9,2%,54 : 46,58.4,37.1,25.7,34.0–39.2,13.9,42.4
601–800,Taif University,39622,19.6,2%,56 : 44,75.3,38.8,72.0,34.0–39.2,12.4,16.9
601–800,Tallinn University of Technology,8739,12.6,17%,40 : 60,55.1,52.4,77.6,34.0–39.2,20.8,20.2
601–800,University of TehranIran,45295,21.5,2%,45 : 55,51.9,36.9,29.0,34.0–39.2,31.7,32.9
601–800,Tehran University of Medical SciencesIran,11605,6.4,11%,57 : 43,44.8,40.6,31.7,34.0–39.2,17.4,46.4
601–800,Universiti Teknologi Malaysia,19974,13.5,20%,47 : 53,41.7,46.2,64.2,34.0–39.2,28.9,33.0
601–800,University of Texas at Arlington,33537,29.5,13%,60 : 40,56.8,40.2,45.6,34.0–39.2,19.2,23.9
601–800,The University of Texas at San Antonio,27187,24.7,3%,51 : 49,69.0,39.0,38.0,34.0–39.2,21.5,21.2
601–800,Thapar Institute of Engineering and Technology,9375,16.9,1%,28 : 72,88.4,37.3,23.4,34.0–39.2,12.0,21.3
601–800,University of Toledo,17871,16.1,10%,52 : 48,49.9,41.9,48.6,34.0–39.2,15.1,34.8
601–800,Tomsk State University,7806,11.7,36%,nan,18.0,88.7,73.5,34.0–39.2,37.4,41.5
601–800,TU Braunschweig,19676,9.8,17%,40 : 60,53.8,42.8,58.4,34.0–39.2,15.4,26.4
601–800,University of UlsanSouth Korea,12415,11.0,4%,48 : 52,66.2,65.1,23.7,34.0–39.2,24.4,21.8
601–800,Ulster University,17683,18.8,9%,57 : 43,50.5,39.0,77.6,34.0–39.2,22.3,19.9
